player_id,player_display_name,team,season,position,projected_games_played,projected_ppr_per_game,projected_ppr,projected_receptions,projected_half_ppr,projected_half_ppr_per_game,ci_low,ci_high,position_rank,is_rookie,draft_round,draft_pick,is_sleeper,baseline_pts,baseline_rank,vbd,vbd_rank_overall,tier,consensus_rank,rank_diff,label
00-0039793,AJ Barner,SEA,2026.0,TE,,9.161223411560059,146.57957458496094,50.98292922973633,121.08810997009277,7.568006873130798,103.802978515625,150.84376525878906,9.0,False,,,,140.54624938964844,12.0,6.0333251953125,74,2,24.53,-49.47,bust
00-0036389,Jalen Hurts,PHI,2026.0,QB,14.613957,18.37710952758789,268.5622863769531,0.31087401509284973,268.4068493694067,16.77542808558792,257.587890625,298.6161804199219,11.0,False,,,,262.61468505859375,12.0,5.947601318359375,75,1,5.83,-69.17,bust
00-0039849,Marvin Harrison Jr.,ARI,2026.0,WR,,9.441938400268555,151.07101440429688,52.48992156982422,124.82605361938477,7.801628351211548,126.26336669921875,180.2562713623047,33.0,False,,,,145.698974609375,36.0,5.372039794921875,76,5,33.29,-42.71,bust
00-0037816,Romeo Doubs,NE,2026.0,WR,,9.288606643676758,148.61770629882812,51.512428283691406,122.86149215698242,7.678843259811401,114.06123352050781,165.91114807128906,34.0,False,,,,145.698974609375,36.0,2.918731689453125,77,5,52.76,-24.240000000000002,bust
00-0039065,Sam LaPorta,DET,2026.0,TE,,8.954415321350098,143.27064514160156,51.678096771240234,117.43159675598145,7.33947479724884,115.89314270019531,156.7605743408203,10.0,False,,,,140.54624938964844,12.0,2.724395751953125,78,2,7.44,-70.56,bust
00-0033288,George Kittle,SF,2026.0,TE,,8.9292573928833,142.8681182861328,54.227230072021484,115.75450325012207,7.234656453132629,108.9395523071289,171.38336181640625,11.0,False,,,,140.54624938964844,12.0,2.321868896484375,79,2,13.19,-65.81,bust
00-0036919,Kenny Gainwell,TB,2026.0,RB,,9.257375892558219,148.1180142809315,42.43433329969298,126.90084763108501,7.931302976942813,131.43450642089007,172.24252870678495,21.0,False,,,,147.86696529171712,24.0,0.25104898921438235,80,4,,,
00-0034753,Mark Andrews,BAL,2026.0,TE,,8.784140586853027,140.54624938964844,44.8510856628418,118.12070655822754,7.382544159889221,104.94815826416016,139.9295196533203,12.0,False,,,,140.54624938964844,12.0,0.0,81,2,17.44,-63.56,bust
00-0038124,Christian Watson,GB,2026.0,WR,,9.106185913085938,145.698974609375,53.2096061706543,119.09417152404785,7.443385720252991,122.2613525390625,163.52667236328125,35.0,False,,,,145.698974609375,36.0,0.0,82,5,29.18,-52.82,bust
00-0034855,Baker Mayfield,TB,2026.0,QB,14.177828,18.52291488647461,262.61468505859375,0.2839043438434601,262.472732886672,16.404545805417,229.0431365966797,260.18133544921875,12.0,False,,,,262.61468505859375,12.0,0.0,83,1,19.5,-63.5,bust
00-0036875,Rhamondre Stevenson,NE,2026.0,RB,,9.24168533073232,147.86696529171712,20.860578908952924,137.43667583724067,8.589792239827542,122.97390831907508,166.837062409053,22.0,False,,,,147.86696529171712,24.0,0.0,84,4,30.56,-53.44,bust
00-0040189,Oronde Gadsden II,LAC,2026.0,TE,,8.752228736877441,140.03565979003906,53.65242004394531,113.2094497680664,7.07559061050415,123.22541809082031,155.80084228515625,13.0,False,,,,140.54624938964844,12.0,-0.510589599609375,85,2,12.63,-72.37,bust
00-0031381,Davante Adams,LA,2026.0,WR,,9.04255199432373,144.6808319091797,52.370216369628906,118.49572372436523,7.405982732772827,144.701171875,210.3546600341797,36.0,False,,,,145.698974609375,36.0,-1.0181427001953125,86,5,22.35,-63.65,bust
00-0040236,Kyle Monangai,CHI,2026.0,RB,,9.141143913269044,146.2583026123047,30.375813674926757,131.0703957748413,8.191899735927581,119.10447654724122,158.32852081298827,23.0,False,,,,147.86696529171712,24.0,-1.6086626794124186,87,4,32.76,-54.24,bust
00-0037261,Khalil Shakir,BUF,2026.0,WR,,8.970168113708496,143.52268981933594,50.18171310424805,118.43183326721191,7.401989579200745,107.25389099121094,171.01927185058594,37.0,False,,,,145.698974609375,36.0,-2.1762847900390625,88,5,48.21,-39.79,bust
00-0034348,Courtland Sutton,DEN,2026.0,WR,,8.940342903137207,143.0454864501953,56.92753982543945,114.58171653747559,7.161357283592224,141.81593322753906,182.21282958984375,38.0,False,,,,145.698974609375,36.0,-2.6534881591796875,89,5,33.68,-55.32,bust
00-0039165,Zach Charbonnet,SEA,2026.0,RB,,9.05589835813811,144.89437373020976,13.441681516740031,138.17353297183973,8.635845810739983,113.46214765758894,183.35686174062408,24.0,False,,,,147.86696529171712,24.0,-2.9725915615073575,90,4,43.06,-46.94,bust
00-0036555,Chuba Hubbard,CAR,2026.0,RB,,8.99812868318029,143.97005893088465,23.15565781826356,132.39223002175285,8.274514376359553,107.64089855640576,144.37102644464073,25.0,False,,,,147.86696529171712,24.0,-3.8969063608324745,91,4,26.76,-64.24,bust
00-0034827,DJ Moore,BUF,2026.0,WR,,8.733885765075684,139.74217224121094,53.656471252441406,112.91393661499023,7.05712103843689,125.17964935302734,173.56504821777344,39.0,False,,,,145.698974609375,36.0,-5.9568023681640625,92,5,27.62,-64.38,bust
00-0034960,Jakobi Meyers,JAX,2026.0,WR,,8.689791679382324,139.0366668701172,45.76203536987305,116.15564918518066,7.2597280740737915,108.51576232910156,157.7559051513672,40.0,False,,,,145.698974609375,36.0,-6.6623077392578125,93,5,37.47,-55.53,bust
00-0035261,Tony Pollard,TEN,2026.0,RB,,8.77951579820449,140.47225277127183,21.982209984128563,129.48114777920756,8.092571736200473,115.6238900261787,162.1289035824796,26.0,False,,,,147.86696529171712,24.0,-7.394712520445296,94,4,31.21,-62.79,bust
00-0034796,Lamar Jackson,BAL,2026.0,QB,14.796655,17.240629196166992,255.1036376953125,0.3899862468242645,254.90864457190037,15.931790285743773,228.0822296142578,272.94732666015625,13.0,False,,,,262.61468505859375,12.0,-7.51104736328125,95,1,2.42,-92.58,bust
00-0034351,Dallas Goedert,PHI,2026.0,TE,,8.21739673614502,131.4783477783203,49.32393264770508,106.81638145446777,6.676023840904236,106.26624298095703,147.95884704589844,14.0,False,,,,140.54624938964844,12.0,-9.067901611328125,96,3,14.84,-81.16,bust
00-0035640,DK Metcalf,PIT,2026.0,WR,,8.482131004333496,135.71409606933594,48.78156280517578,111.32331466674805,6.957707166671753,118.999755859375,167.35108947753906,41.0,False,,,,145.698974609375,36.0,-9.984878540039062,97,5,34.88,-62.12,bust
00-0038976,Marvin Mims Jr.,DEN,2026.0,WR,,8.470634460449219,135.5301513671875,38.77546691894531,116.14241790771484,7.258901119232178,100.08340454101562,139.2091064453125,42.0,False,,,,145.698974609375,36.0,-10.1688232421875,98,5,90.4,-7.599999999999994,
00-0037545,Rashid Shaheed,SEA,2026.0,WR,,8.44131851196289,135.06109619140625,48.89022445678711,110.6159839630127,6.9134989976882935,112.17697143554688,148.28587341308594,43.0,False,,,,145.698974609375,36.0,-10.63787841796875,99,5,60.41,-38.59,bust
00-0036252,Michael Pittman,PIT,2026.0,WR,,8.363369941711426,133.8139190673828,58.39426803588867,104.61678504943848,6.538549065589905,130.22267150878906,167.7315673828125,44.0,False,,,,145.698974609375,36.0,-11.885055541992188,100,5,,,
00-0040691,Jaxson Dart,NYG,2026.0,QB,14.291481,17.497699737548828,250.0680389404297,0.040271010249853134,250.04790343530476,15.627993964706548,230.35435485839844,278.4530029296875,14.0,False,,,,262.61468505859375,12.0,-12.546646118164062,101,1,8.69,-92.31,bust
00-0032764,Derrick Henry,BAL,2026.0,RB,,8.45333185806248,135.25330972899968,20.820495451092306,124.84306200345353,7.802691375215845,126.05600760457938,167.52577260126398,27.0,False,,,,147.86696529171712,24.0,-12.61365556271744,102,4,14.76,-87.24,bust
00-0036997,Javonte Williams,DAL,2026.0,RB,,8.452098866311921,135.23358186099074,21.186236129201987,124.64046379638975,7.7900289872743596,134.07088345276338,175.31722075893813,28.0,False,,,,147.86696529171712,24.0,-12.633383430726383,103,4,16.97,-86.03,bust
,Omar Cooper Jr.,NYJ,,WR,,,132.5181311680056,,,,,,,True,1.0,30.0,False,145.698974609375,36.0,-13.180843441369404,104,5,65.0,-39.0,bust
