player_id,season,player_display_name,team,games_played,ppr_pg_weighted,ppr_total_weighted,ppr_pg_last,ppr_pg_2yr_ago,ppr_pg_3yr_ago,games_played_last,games_played_2yr_ago,career_seasons,age_at_season_start,team_pass_rate_last,team_pts_per_game_last,team_plays_per_game_last,team_changed_offseason,pass_att_pg_last,pass_tds_pg_last,pass_yds_pg_last,rush_att_pg_last,rush_yds_pg_last,xfp_ppr_last,ppr_minus_xfp_last,pass_tds_regressed_last,yards_per_attempt_last,ppr_pg_slope_last_3,fantasy_points_ppr,fantasy_points_half_ppr,fantasy_points_ppr_per_game,fantasy_points_half_ppr_per_game,receptions,projected_ppr,projected_half_ppr,naive_proj,xfp_proj
00-0031503,2024,Jameis Winston,CLE,11,4.104489795918368,27.022857142857145,1.9933333333333332,0.0,16.771428571428572,6.0,0.0,1.0,26.0,0.5580110497237569,20.647058823529413,63.88235294117647,1.0,7.833333333333333,0.3333333333333333,44.0,0.8333333333333334,-1.0,15.98,-4.020000000000001,0.3488529014844804,5.617021276595745,-7.38904761904762,131.14,131.14,11.92181818181818,11.92181818181818,0.0,44.72563,44.72563171386719,31.89333333333333,15.98
00-0031800,2024,Taylor Heinicke,LAC,4,13.178208333333332,96.674,13.2,12.884444444444444,13.92875,5.0,9.0,3.0,26.0,0.5038022813688213,20.53287197231834,61.88235294117647,1.0,27.2,1.0,178.0,3.0,24.8,58.870000000000005,7.1299999999999955,1.1333333333333333,6.544117647058823,-0.3643750000000008,3.12,3.12,0.78,0.78,0.0,74.95897,74.86233696341515,211.2,58.870000000000005
00-0032268,2025,Marcus Mariota,WAS,10,10.021714285714287,67.38857142857144,9.172,0.0,15.120000000000001,5.0,0.0,1.0,26.0,0.5051383399209486,22.75294117647059,63.25,0.0,8.8,0.8,72.8,4.0,18.6,39.1,6.760000000000005,0.4688524590163934,8.272727272727273,-2.974,125.5,125.5,12.55,12.55,0.0,103.336464,103.25335022807121,146.752,39.1
00-0033077,2024,Dak Prescott,DAL,8,19.720733893557423,331.91,20.747777777777777,17.545714285714286,20.083529411764708,18.0,14.0,8.0,26.0,0.5775492716366752,23.22222222222222,64.83333333333333,0.0,36.111111111111114,2.1666666666666665,273.27777777777777,3.388888888888889,15.944444444444445,400.37,-26.910000000000025,2.03921568627451,7.567692307692307,0.3321241830065347,116.52,116.52,14.565,14.565,0.0,215.81683,215.5624144077301,331.96444444444444,400.37
00-0033077,2025,Dak Prescott,DAL,17,16.717904761904762,206.51399999999998,14.565,20.747777777777777,17.545714285714286,8.0,18.0,9.0,26.0,0.5968045112781954,20.044982698961938,62.588235294117645,0.0,35.75,1.375,247.25,1.625,6.75,126.86000000000001,-10.340000000000018,1.47119341563786,6.916083916083916,-1.4903571428571434,313.78,313.78,18.45764705882353,18.45764705882353,0.0,254.3621,254.18176321685314,233.04,126.86000000000001
00-0033106,2024,Jared Goff,DET,18,16.573097478991595,308.074,16.944,16.72470588235294,13.892857142857142,20.0,17.0,8.0,26.0,0.5537509667440061,23.808823529411764,64.65,0.0,35.8,1.7,270.6,2.05,1.2,356.12,-17.24000000000001,1.6805676855895197,7.558659217877095,1.5255714285714284,333.68,333.18,18.537777777777777,18.51,1.0,306.19916,306.1450139954686,271.104,356.12
00-0033106,2025,Jared Goff,DET,17,17.878337254901957,330.304,18.537777777777777,16.944,16.72470588235294,18.0,20.0,9.0,26.0,0.516100957354221,25.245098039215687,63.833333333333336,0.0,32.166666666666664,2.111111111111111,274.55555555555554,2.0,3.5,327.01,6.670000000000016,1.9407359863072315,8.535405872193436,0.9065359477124186,297.06,297.06,17.474117647058822,17.474117647058822,0.0,270.42935,270.4184884391725,296.6044444444444,327.01
00-0033119,2025,Jacoby Brissett,ARI,14,7.260204081632653,62.86571428571429,6.4628571428571435,0.0,12.044285714285715,7.0,0.0,1.0,26.0,0.5436793422404933,18.356401384083046,57.23529411764706,1.0,23.0,0.2857142857142857,118.0,2.142857142857143,8.857142857142858,67.22,-21.979999999999997,0.700831024930748,5.130434782608695,-2.790714285714286,227.44,227.44,16.245714285714286,16.245714285714286,0.0,93.71609,93.68432705104351,103.4057142857143,67.22
00-0033319,2024,Nick Mullens,MIN,4,9.878666666666668,48.41333333333334,13.348000000000003,2.94,0.0,5.0,4.0,2.0,26.0,0.6168132942326491,21.612456747404845,60.1764705882353,0.0,29.6,1.4,261.2,2.0,5.0,69.3,-2.559999999999988,1.360919540229885,8.824324324324325,10.408000000000003,1.32,1.32,0.33,0.33,0.0,127.08149,126.98510344326496,213.56800000000004,69.3
00-0033319,2025,Nick Mullens,JAX,4,4.4964,21.990000000000002,0.33,13.348000000000003,2.94,4.0,5.0,3.0,26.0,0.5521126760563381,21.486928104575163,59.166666666666664,1.0,0.5,0.0,9.5,0.75,-0.5,0.25,1.07,0.022277227722772276,19.0,-1.305,-0.04000000000000009,-0.04000000000000009,-0.010000000000000023,-0.010000000000000023,0.0,176.36452,176.27327994257212,5.28,0.25
00-0033537,2024,Deshaun Watson,CLE,7,14.398888888888889,86.39333333333333,14.466666666666667,14.263333333333334,0.0,6.0,6.0,2.0,26.0,0.554635761589404,20.88562091503268,67.11111111111111,0.0,28.5,1.1666666666666667,185.83333333333334,4.333333333333333,23.666666666666668,85.59,1.2099999999999937,1.2291105121293802,6.52046783625731,0.20333333333333314,76.72,76.72,10.959999999999999,10.959999999999999,0.0,55.10726,54.81328442692757,231.46666666666667,85.59
00-0033662,2024,Cooper Rush,DAL,12,3.0054285714285713,21.356,0.4657142857142857,7.08,6.02,7.0,8.0,3.0,26.0,0.5775492716366752,23.22222222222222,64.83333333333333,0.0,3.4285714285714284,0.0,20.571428571428573,1.7142857142857142,-0.7142857142857143,11.63,-8.370000000000001,0.13775510204081634,6.0,-2.777142857142857,109.56,109.56,9.13,9.13,0.0,32.447624,32.358496591448784,7.451428571428571,11.63
00-0033662,2025,Cooper Rush,BAL,4,6.3257142857142865,72.378,9.13,0.4657142857142857,7.08,12.0,7.0,4.0,26.0,0.5968045112781954,20.044982698961938,62.588235294117645,1.0,25.666666666666668,1.0,153.66666666666666,2.1666666666666665,1.5,134.9,-25.340000000000003,1.0610236220472442,5.987012987012987,1.0250000000000004,1.72,1.72,0.43,0.43,0.0,132.32796,132.22996881604195,146.08,134.9
00-0033869,2024,Mitchell Trubisky,BUF,9,9.139885714285715,52.163999999999994,9.736,10.554285714285713,1.32,5.0,7.0,7.0,26.0,0.5165876777251185,18.84313725490196,58.611111111111114,1.0,21.4,0.8,126.4,3.2,10.8,52.120000000000005,-3.440000000000005,0.9061889250814332,5.906542056074766,4.208,14.959999999999997,14.959999999999997,1.6622222222222218,1.6622222222222218,0.0,25.015068,25.005165028385818,155.776,52.120000000000005
00-0033869,2025,Mitchell Trubisky,BUF,4,4.973561904761905,30.967999999999996,1.6622222222222218,9.736,10.554285714285713,9.0,5.0,8.0,26.0,0.5008319467554077,21.47352941176471,60.1,0.0,2.888888888888889,0.2222222222222222,19.88888888888889,2.2222222222222223,-0.2222222222222222,12.36,2.599999999999998,0.14060963618485742,6.884615384615385,-4.446031746031746,31.119999999999997,31.119999999999997,7.779999999999999,7.779999999999999,0.0,68.97341,68.9734115600586,26.59555555555555,12.36
00-0033873,2024,Patrick Mahomes,KC,19,20.2118,404.236,17.918,23.875999999999998,22.982,20.0,20.0,6.0,26.0,0.5931818181818181,21.6218487394958,62.857142857142854,0.0,37.3,1.65,261.7,4.9,26.5,377.45,-19.089999999999975,1.6560253699788585,7.016085790884718,-2.532,348.38,347.88,18.335789473684212,18.309473684210527,1.0,348.31378,348.22808769345284,286.688,377.45
00-0033873,2025,Patrick Mahomes,KC,14,18.76447368421053,364.288,18.335789473684212,17.918,23.875999999999998,19.0,20.0,7.0,26.0,0.5696413678065054,19.9,59.95,0.0,34.94736842105263,1.631578947368421,242.47368421052633,4.2105263157894735,20.473684210526315,359.67,-11.29000000000002,1.6179337231968811,6.938253012048193,-2.770105263157893,285.68,285.18,20.405714285714286,20.37,1.0,333.44724,333.304414704442,293.3726315789474,359.67
00-0034771,2024,Mason Rudolph,TEN,8,11.264000000000001,56.32000000000001,11.264000000000001,0.0,0.0,5.0,0.0,1.0,26.0,0.5165876777251185,18.84313725490196,58.611111111111114,1.0,22.6,1.0,189.6,2.4,4.8,43.980000000000004,12.340000000000003,1.0108626198083068,8.389380530973451,0.0,95.8,95.8,11.975,11.975,0.0,67.41322,67.30300906300545,180.22400000000002,43.980000000000004
00-0034771,2025,Mason Rudolph,PIT,6,11.738000000000001,82.64000000000001,11.975,11.264000000000001,0.0,8.0,5.0,2.0,26.0,0.5408163265306123,18.94809688581315,57.64705882352941,1.0,28.5,1.125,191.25,3.125,13.25,95.49,0.3100000000000023,1.1985981308411213,6.7105263157894735,0.7109999999999985,15.08,15.08,2.513333333333333,2.513333333333333,0.0,33.32714,33.28514877706766,191.6,95.49
00-0034796,2024,Lamar Jackson,BAL,19,20.7645,326.35,21.43777777777778,19.673333333333336,19.998333333333335,18.0,12.0,6.0,26.0,0.4800347222222222,22.526315789473685,60.63157894736842,0.0,28.666666666666668,1.5,227.88888888888889,9.277777777777779,54.166666666666664,375.3,10.579999999999984,1.4413407821229052,7.949612403100775,0.7197222222222219,471.54,471.54,24.817894736842106,24.817894736842106,0.0,320.48245,320.37479654699564,343.00444444444446,375.3
00-0034796,2025,Lamar Jackson,BAL,13,23.28940350877193,422.296,24.817894736842106,21.43777777777778,19.673333333333336,19.0,18.0,7.0,26.0,0.4520311149524633,25.640866873065015,60.89473684210526,0.0,27.36842105263158,2.3684210526315788,242.1578947368421,8.421052631578947,54.473684210526315,372.31,99.23000000000002,2.0526315789473686,8.848076923076922,2.5722807017543854,214.86,214.86,16.52769230769231,16.52769230769231,0.0,345.74,345.1866307258606,397.0863157894737,372.31
00-0034855,2024,Baker Mayfield,TB,18,14.57816917293233,249.276,17.08421052631579,10.118333333333334,12.921428571428573,19.0,12.0,6.0,26.0,0.5718085106382979,19.959752321981426,59.36842105263158,0.0,33.8421052631579,1.7894736842105263,248.94736842105263,3.473684210526316,10.210526315789474,318.12,6.480000000000018,1.7262283823437599,7.356143079315707,2.0813909774436086,381.5,381.5,21.194444444444443,21.194444444444443,0.0,229.88136,229.74641275405884,273.34736842105264,318.12
