player_display_name,position,team,our_model_rank,our_projected_points,fp_ecr_rank,sleeper_adp,consensus_blend_rank,diff_our_vs_blend,diff_our_vs_fp
Tyler Allgeier,RB,ATL,156,,42.0,,99.0,57.0,114.0
Noah Gray,TE,KC,157,,41.0,,99.0,58.0,116.0
Zack Moss,RB,CIN,158,,128.0,,143.0,15.0,30.0
Ameer Abdullah,RB,LV,159,,132.0,,145.5,13.5,27.0
Kareem Hunt,RB,KC,160,,94.0,,127.0,33.0,66.0
AJ Barner,TE,SEA,161,,22.0,,91.5,69.5,139.0
Jalen Coker,WR,CAR,162,,54.0,,108.0,54.0,108.0
Emanuel Wilson,RB,GB,163,,56.0,,109.5,53.5,107.0
Payne Durham,TE,TB,164,,99.0,,131.5,32.5,65.0
Nick Vannett,TE,TEN,165,,,,165.0,0.0,
Kenneth Gainwell,RB,PHI,166,,36.0,,101.0,65.0,130.0
Sam Darnold,QB,MIN,167,,22.0,,94.5,72.5,145.0
Tank Bigsby,RB,JAX,168,,56.0,,112.0,56.0,112.0
Will Dissly,TE,LAC,169,,80.0,,124.5,44.5,89.0
Khalil Herbert,RB,CIN,170,,112.0,,141.0,29.0,58.0
Ja'Tavion Sanders,TE,CAR,171,,40.0,,105.5,65.5,131.0
Zamir White,RB,LV,172,,117.0,,144.5,27.5,55.0
Ricky Pearsall,WR,SF,173,,41.0,,107.0,66.0,132.0
Marvin Mims Jr.,WR,DEN,174,,90.0,,132.0,42.0,84.0
Josh Palmer,WR,LAC,175,,,,175.0,0.0,
Gus Edwards,RB,LAC,176,,128.0,,152.0,24.0,48.0
Dameon Pierce,RB,HOU,177,,105.0,,141.0,36.0,72.0
Devin Singletary,RB,NYG,178,,83.0,,130.5,47.5,95.0
Antonio Gibson,RB,NE,179,,106.0,,142.5,36.5,73.0
DeAndre Hopkins,WR,KC,180,,140.0,,160.0,20.0,40.0
D'Onta Foreman,RB,CLE,181,,166.0,,173.5,7.5,15.0
Alexander Mattison,RB,LV,182,,120.0,,151.0,31.0,62.0
Justin Herbert,QB,LAC,183,,8.0,,95.5,87.5,175.0
Elijah Moore,WR,CLE,184,,131.0,,157.5,26.5,53.0
Trey Benson,RB,ARI,185,,61.0,,123.0,62.0,124.0
Jordan Akins,TE,CLE,186,,,,186.0,0.0,
Curtis Samuel,WR,BUF,187,,156.0,,171.5,15.5,31.0
Christian Watson,WR,GB,188,,26.0,,107.0,81.0,162.0
Luke Schoonmaker,TE,DAL,189,,69.0,,129.0,60.0,120.0
Troy Franklin,WR,DEN,190,,70.0,,130.0,60.0,120.0
Jeremy Ruckert,TE,NYJ,191,,78.0,,134.5,56.5,113.0
Chris Brooks,RB,GB,192,,78.0,,135.0,57.0,114.0
Darnell Washington,TE,PIT,193,,39.0,,116.0,77.0,154.0
Brenton Strange,TE,JAX,194,,16.0,,105.0,89.0,178.0
Kimani Vidal,RB,LAC,195,,60.0,,127.5,67.5,135.0
Jahan Dotson,WR,PHI,196,,104.0,,150.0,46.0,92.0
Jaylen Wright,RB,MIA,197,,64.0,,130.5,66.5,133.0
Miles Sanders,RB,CAR,198,,110.0,,154.0,44.0,88.0
Kylen Granson,TE,IND,199,,83.0,,141.0,58.0,116.0
Tutu Atwell,WR,LA,200,,103.0,,151.5,48.5,97.0
Jaleel McLaughlin,RB,DEN,201,,81.0,,141.0,60.0,120.0
Daniel Bellinger,TE,NYG,202,,51.0,,126.5,75.5,151.0
Grant Calcaterra,TE,PHI,203,,73.0,,138.0,65.0,130.0
Cade Stover,TE,HOU,204,,65.0,,134.5,69.5,139.0
Greg Dortch,WR,ARI,205,,134.0,,169.5,35.5,71.0
Raheem Mostert,RB,MIA,206,,112.0,,159.0,47.0,94.0
Alec Pierce,WR,IND,207,,30.0,,118.5,88.5,177.0
Dawson Knox,TE,BUF,208,,44.0,,126.0,82.0,164.0
Isaiah Davis,RB,NYJ,209,,73.0,,141.0,68.0,136.0
Pierre Strong,RB,CLE,210,,146.0,,178.0,32.0,64.0
Ezekiel Elliott,RB,DAL,211,,,,211.0,0.0,
Theo Johnson,TE,NYG,212,,31.0,,121.5,90.5,181.0
Josh Whyle,TE,TEN,213,,89.0,,151.0,62.0,124.0
Noah Brown,WR,WAS,214,,166.0,,190.0,24.0,48.0
Charlie Kolar,TE,BAL,215,,63.0,,139.0,76.0,152.0
Tyler Johnson,WR,LA,216,,196.0,,206.0,10.0,20.0
Emari Demercado,RB,ARI,217,,88.0,,152.5,64.5,129.0
Geno Smith,QB,SEA,218,,27.0,,122.5,95.5,191.0
Andrei Iosivas,WR,CIN,219,,102.0,,160.5,58.5,117.0
Gabe Davis,WR,JAX,220,,164.0,,192.0,28.0,56.0
Dyami Brown,WR,WAS,221,,126.0,,173.5,47.5,95.0
Andrew Ogletree,TE,IND,222,,,,222.0,0.0,
Colby Parkinson,TE,LA,223,,32.0,,127.5,95.5,191.0
Trey Sermon,RB,IND,224,,132.0,,178.0,46.0,92.0
Tommy Tremble,TE,CAR,225,,49.0,,137.0,88.0,176.0
Hayden Hurst,TE,LAC,226,,,,226.0,0.0,
Jonathan Ward,RB,PIT,227,,,,227.0,0.0,
Samaje Perine,RB,KC,228,,77.0,,152.5,75.5,151.0
Parker Washington,WR,JAX,229,,38.0,,133.5,95.5,191.0
Josh Oliver,TE,MIN,230,,73.0,,151.5,78.5,157.0
Blake Corum,RB,LA,231,,35.0,,133.0,98.0,196.0
Darius Slayton,WR,NYG,232,,98.0,,165.0,67.0,134.0
Deuce Vaughn,RB,DAL,233,,152.0,,192.5,40.5,81.0
Jalen Tolbert,WR,DAL,234,,109.0,,171.5,62.5,125.0
Roschon Johnson,RB,CHI,235,,100.0,,167.5,67.5,135.0
Gerald Everett,TE,CHI,236,,106.0,,171.0,65.0,130.0
Tyler Higbee,TE,LA,237,,40.0,,138.5,98.5,197.0
Brock Wright,TE,DET,238,,87.0,,162.5,75.5,151.0
Foster Moreau,TE,NO,239,,83.0,,161.0,78.0,156.0
Jonathan Mingo,WR,DAL,240,,178.0,,209.0,31.0,62.0
Adonai Mitchell,WR,IND,241,,66.0,,153.5,87.5,175.0
Bryce Young,QB,CAR,242,,24.0,,133.0,109.0,218.0
Craig Reynolds,RB,DET,243,,147.0,,195.0,48.0,96.0
John Metchie III,WR,HOU,244,,118.0,,181.0,63.0,126.0
Cordarrelle Patterson,RB,PIT,245,,163.0,,204.0,41.0,82.0
Ray-Ray McCloud,WR,ATL,246,,205.0,,225.5,20.5,41.0
Mack Hollins,WR,BUF,247,,95.0,,171.0,76.0,152.0
Ty Johnson,RB,BUF,248,,72.0,,160.0,88.0,176.0
Audric Estimé,RB,DEN,249,,,,249.0,0.0,
Matthew Stafford,QB,LA,250,,14.0,,132.0,118.0,236.0
Jeremy McNichols,RB,WAS,251,,101.0,,176.0,75.0,150.0
Mo Alie-Cox,TE,IND,252,,102.0,,177.0,75.0,150.0
MyCole Pruitt,TE,PIT,253,,,,253.0,0.0,
Harrison Bryant,TE,LV,254,,90.0,,172.0,82.0,164.0
Jalen Nailor,WR,MIN,255,,66.0,,160.5,94.5,189.0
Chris Rodriguez Jr.,RB,WAS,256,,40.0,,148.0,108.0,216.0
Greg Dulcich,TE,NYG,257,,26.0,,141.5,115.5,231.0
Marquise Brown,WR,KC,258,,,,258.0,0.0,
Adam Trautman,TE,DEN,259,,81.0,,170.0,89.0,178.0
Diontae Johnson,WR,HOU,260,,164.0,,212.0,48.0,96.0
Bub Means,WR,NO,261,,200.0,,230.5,30.5,61.0
Julian Hill,TE,MIA,262,,86.0,,174.0,88.0,176.0
Nate Adkins,TE,DEN,263,,,,263.0,0.0,
Carson Steele,RB,KC,264,,146.0,,205.0,59.0,118.0
Eric Saubert,TE,SF,265,,119.0,,192.0,73.0,146.0
Luke Musgrave,TE,GB,266,,52.0,,159.0,107.0,214.0
Austin Hooper,TE,NE,267,,55.0,,161.0,106.0,212.0
Rasheen Ali,RB,BAL,268,,94.0,,181.0,87.0,174.0
Kenny McIntosh,RB,SEA,269,,142.0,,205.5,63.5,127.0
Demarcus Robinson,WR,LA,270,,142.0,,206.0,64.0,128.0
D'Ernest Johnson,RB,JAX,271,,163.0,,217.0,54.0,108.0
Michael Mayer,TE,LV,272,,40.0,,156.0,116.0,232.0
Kendrick Bourne,WR,NE,273,,112.0,,192.5,80.5,161.0
Devaughn Vele,WR,DEN,274,,100.0,,187.0,87.0,174.0
Cedric Tillman,WR,CLE,275,,104.0,,189.5,85.5,171.0
Tim Patrick,WR,DET,276,,190.0,,233.0,43.0,86.0
Sincere McCormick,RB,LV,277,,124.0,,200.5,76.5,153.0
Ryan Miller,WR,TB,278,,,,278.0,0.0,
KaVontae Turpin,WR,DAL,279,,114.0,,196.5,82.5,165.0
Stone Smartt,TE,LAC,280,,90.0,,185.0,95.0,190.0
John Bates,TE,WAS,281,,43.0,,162.0,119.0,238.0
Durham Smythe,TE,MIA,282,,77.0,,179.5,102.5,205.0
Brevyn Spann-Ford,TE,DAL,283,,109.0,,196.0,87.0,174.0
Patrick Taylor,RB,SF,284,,131.0,,207.5,76.5,153.0
DeeJay Dallas,RB,ARI,285,,144.0,,214.5,70.5,141.0
Julius Chestnut,RB,TEN,286,,159.0,,222.5,63.5,127.0
Tyler Badie,RB,DEN,287,,109.0,,198.0,89.0,178.0
