player_id,season,player_display_name,team,games_played,ppr_pg_weighted,ppr_total_weighted,ppr_pg_last,ppr_pg_2yr_ago,ppr_pg_3yr_ago,games_played_last,games_played_2yr_ago,career_seasons,age_at_season_start,team_pass_rate_last,team_pts_per_game_last,team_plays_per_game_last,team_changed_offseason,carries_pg_last,rush_yds_pg_last,rush_tds_pg_last,targets_pg_last,receptions_pg_last,rec_yds_pg_last,target_share_last,snap_pct_last,xfp_ppr_last,ppr_minus_xfp_last,games_missed_last,is_receiving_back,is_workhorse,age_over_28,fantasy_points_ppr,fantasy_points_half_ppr,fantasy_points_ppr_per_game,fantasy_points_half_ppr_per_game,receptions,projected_ppr,projected_half_ppr,naive_proj,xfp_proj
00-0033293,2024,Aaron Jones,MIN,18,14.454654977375565,210.24,14.123076923076924,14.623529411764707,15.9375,13.0,17.0,7.0,26.0,0.5608465608465608,21.139318885448915,59.68421052631579,1.0,13.923076923076923,67.84615384615384,0.38461538461538464,3.8461538461538463,2.6153846153846154,19.53846153846154,0.08503401360544217,0.5276923076923077,190.62,-7.019999999999982,4.0,1.0,0.0,0.0,250.6,223.6,13.922222222222222,12.422222222222222,54.0,159.53064,146.59591960906982,225.9692307692308,190.62
00-0033293,2025,Aaron Jones,MIN,12,14.052609351432881,230.29999999999998,13.922222222222222,14.123076923076924,14.623529411764707,18.0,13.0,8.0,26.0,0.5521126760563381,21.486928104575163,59.166666666666664,0.0,14.88888888888889,65.88888888888889,0.2777777777777778,3.7777777777777777,3.0,23.333333333333332,0.12363636363636364,0.6372222222222222,286.59,-35.98999999999998,0.0,1.0,0.0,0.0,118.7,104.7,9.891666666666667,8.725,28.0,154.02621,135.18467903137207,222.75555555555556,286.59
00-0033526,2024,Samaje Perine,KC,20,7.40907120743034,132.21,7.135294117647058,8.705263157894738,5.163157894736843,17.0,19.0,7.0,26.0,0.5360501567398119,18.570934256055363,56.294117647058826,1.0,3.1176470588235294,14.0,0.058823529411764705,3.2941176470588234,2.9411764705882355,26.764705882352942,0.11814345991561181,0.3364705882352941,110.95,10.349999999999994,0.0,0.0,0.0,0.0,84.9,70.4,4.245,3.5200000000000005,29.0,70.24023,50.31204795837402,114.16470588235293,110.95
00-0033526,2025,Samaje Perine,CIN,15,5.558114551083591,103.87,4.245,7.135294117647058,8.705263157894738,20.0,17.0,8.0,26.0,0.5696413678065054,19.9,59.95,1.0,1.05,5.0,0.05,1.9,1.45,16.95,0.05837173579109063,0.2575,71.76,13.14,0.0,0.0,0.0,0.0,77.9,69.4,5.193333333333333,4.626666666666667,17.0,82.08167,67.65948009490967,67.92,71.76
00-0033553,2024,James Conner,ARI,16,15.589374999999999,207.67,15.5,15.399999999999999,16.69375,13.0,13.0,7.0,26.0,0.5419921875,20.01038062283737,60.23529411764706,0.0,16.0,80.0,0.5384615384615384,2.5384615384615383,2.076923076923077,12.692307692307692,0.06111111111111111,0.6161538461538462,175.38,26.120000000000005,4.0,0.0,0.0,0.0,253.8,230.3,15.8625,14.39375,47.0,201.48767,181.8554229736328,248.0,175.38
00-0033699,2024,Austin Ekeler,WAS,15,16.611130952380954,262.92,13.242857142857144,21.72222222222222,21.4875,14.0,18.0,7.0,26.0,0.5951035781544256,20.602076124567475,62.470588235294116,1.0,12.785714285714286,44.857142857142854,0.35714285714285715,5.285714285714286,3.642857142857143,31.142857142857142,0.12052117263843648,0.655,235.76,-50.359999999999985,3.0,1.0,0.0,0.0,159.6,136.1,10.639999999999999,9.073333333333332,47.0,222.17642,199.59354209899902,211.8857142857143,235.76
00-0033854,2024,Dare Ogunbowale,HOU,18,1.9212027972027972,25.8,0.9363636363636364,3.246666666666667,3.853846153846154,11.0,15.0,5.0,26.0,0.5746003552397868,21.105263157894736,59.26315789473684,0.0,0.9090909090909091,3.8181818181818183,0.0,0.7272727272727273,0.2727272727272727,2.8181818181818183,0.012924071082390954,0.1457142857142857,16.79,-6.489999999999998,6.0,0.0,0.0,0.0,58.4,48.4,3.2444444444444445,2.6888888888888887,20.0,15.157509,14.064042568206787,14.981818181818182,16.79
00-0033854,2025,Dare Ogunbowale,HOU,14,2.552242424242424,43.0,3.2444444444444445,0.9363636363636364,3.246666666666667,18.0,11.0,6.0,26.0,0.5593971631205674,20.758513931888547,59.36842105263158,0.0,1.7777777777777777,7.0,0.0,1.6111111111111112,1.1111111111111112,11.0,0.047775947281713346,0.27473684210526317,66.84,-8.440000000000005,0.0,0.0,0.0,0.0,24.1,19.1,1.7214285714285715,1.3642857142857143,10.0,38.58817,30.878948211669922,51.91111111111111,66.84
00-0033897,2024,Joe Mixon,HOU,16,16.038141176470585,277.94399999999996,15.705882352941176,16.16470588235294,17.652,17.0,17.0,7.0,26.0,0.6162324649298597,20.013840830449826,58.705882352941174,1.0,15.117647058823529,60.8235294117647,0.5294117647058824,3.764705882352941,3.0588235294117645,22.11764705882353,0.10810810810810811,0.6888235294117647,286.14,-19.139999999999986,0.0,1.0,1.0,0.0,275.4,255.89999999999998,17.2125,15.993749999999999,39.0,178.3612,160.1571216583252,251.2941176470588,286.14
00-0033906,2024,Alvin Kamara,NO,14,16.793230769230767,226.77999999999997,17.923076923076923,14.113333333333333,18.053846153846155,13.0,15.0,7.0,26.0,0.5580110497237569,20.647058823529413,63.88235294117647,0.0,13.846153846153847,53.38461538461539,0.38461538461538464,6.615384615384615,5.769230769230769,35.84615384615385,0.14853195164075994,0.6215384615384616,242.82999999999998,-9.829999999999984,4.0,1.0,0.0,0.0,265.3,231.3,18.95,16.521428571428572,68.0,299.43558,265.9040641784668,286.7692307692308,242.82999999999998
00-0033906,2025,Alvin Kamara,NO,11,18.15825641025641,250.25,18.95,17.923076923076923,14.113333333333333,14.0,13.0,8.0,26.0,0.5543259557344065,19.629757785467127,58.470588235294116,0.0,16.285714285714285,67.85714285714286,0.42857142857142855,6.357142857142857,4.857142857142857,38.785714285714285,0.172147001934236,0.7085714285714285,274.8,-9.5,3.0,1.0,1.0,0.0,100.7,84.2,9.154545454545454,7.654545454545455,33.0,303.44568,271.2260627746582,303.2,274.8
00-0033923,2024,Kareem Hunt,KC,16,8.825147058823529,132.44,8.6875,7.458823529411765,13.75,16.0,17.0,7.0,26.0,0.554635761589404,20.88562091503268,67.11111111111111,1.0,8.9375,27.3125,0.625,1.6875,1.25,5.8125,0.0421875,0.315625,137.73,1.2700000000000102,1.0,0.0,0.0,0.0,183.4,170.4,11.4625,10.65,26.0,61.693565,52.33398914337158,139.0,137.73
00-0033923,2025,Kareem Hunt,KC,17,10.229632352941177,164.42000000000002,11.4625,8.6875,7.458823529411765,16.0,16.0,8.0,26.0,0.5696413678065054,19.9,59.95,0.0,14.25,52.8125,0.5625,2.1875,1.625,11.8125,0.053763440860215055,0.498125,212.86,-29.460000000000008,1.0,0.0,0.0,0.0,145.4,136.4,8.552941176470588,8.023529411764706,18.0,100.58624,89.10307502746582,183.4,212.86
00-0033925,2024,D'Onta Foreman,CLE,10,9.54125,104.07,10.133333333333333,8.1875,10.05,9.0,16.0,4.0,26.0,0.4937439846005775,20.048442906574394,61.11764705882353,1.0,12.11111111111111,47.22222222222222,0.4444444444444444,1.7777777777777777,1.2222222222222223,8.555555555555555,0.03397027600849257,0.42666666666666664,91.92,-0.7199999999999989,8.0,0.0,0.0,0.0,32.6,29.6,3.2600000000000002,2.96,6.0,93.86278,85.9540286064148,162.13333333333333,91.92
00-0033948,2024,Jamaal Williams,NO,14,7.714162895927601,116.22999999999999,4.676923076923076,13.288235294117648,9.215384615384615,13.0,17.0,7.0,26.0,0.5580110497237569,20.647058823529413,63.88235294117647,0.0,8.153846153846153,23.53846153846154,0.07692307692307693,1.5384615384615385,1.3846153846153846,4.769230769230769,0.03454231433506045,0.37538461538461537,83.92,-23.120000000000005,4.0,0.0,0.0,0.0,37.1,32.6,2.65,2.3285714285714287,9.0,79.95328,67.68521404266357,74.83076923076922,83.92
00-0033955,2025,Jeremy McNichols,WAS,16,3.9277777777777785,70.7,3.927777777777778,0.0,0.0,18.0,0.0,1.0,26.0,0.5051383399209486,22.75294117647059,63.25,0.0,3.3333333333333335,15.0,0.2777777777777778,0.6666666666666666,0.5,1.5,0.019639934533551555,0.198,61.53,9.170000000000002,0.0,0.0,0.0,0.0,72.7,60.2,4.54375,3.7625,25.0,79.257904,73.97771787643433,62.84444444444445,61.53
00-0034115,2024,Jeff Wilson,MIA,7,6.201867647058823,81.62,4.290000000000001,9.947058823529412,6.4375,10.0,17.0,6.0,26.0,0.5617455896007428,23.794117647058826,59.833333333333336,0.0,4.1,18.8,0.0,1.9,1.5,9.1,0.03327495621716287,0.2290909090909091,51.160000000000004,-8.259999999999998,7.0,0.0,0.0,0.0,10.6,9.1,1.5142857142857142,1.3,3.0,63.592735,56.268051624298096,68.64000000000001,51.160000000000004
00-0034184,2024,Gus Edwards,LAC,12,9.078070175438599,152.83333333333334,10.342105263157896,6.55,0.0,19.0,10.0,2.0,26.0,0.4800347222222222,22.526315789473685,60.63157894736842,1.0,11.105263157894736,45.78947368421053,0.6842105263157895,0.8421052631578947,0.7368421052631579,10.263157894736842,0.030534351145038167,0.4136842105263158,183.5,13.0,0.0,0.0,0.0,0.0,66.3,64.8,5.5249999999999995,5.3999999999999995,3.0,119.90427,110.58360290527344,165.47368421052633,183.5
00-0034208,2024,Mike Boone,CAR,5,2.1851851851851856,18.46666666666667,1.4777777777777779,3.6,0.0,9.0,8.0,2.0,26.0,0.5746003552397868,21.105263157894736,59.26315789473684,1.0,0.5555555555555556,2.5555555555555554,0.0,1.0,0.7777777777777778,4.444444444444445,0.014539579967689823,0.16444444444444445,14.78,-1.4799999999999986,8.0,0.0,0.0,0.0,5.9,5.4,1.1800000000000002,1.08,1.0,31.2728,28.502669095993042,23.644444444444446,14.78
00-0034791,2025,Nick Chubb,HOU,17,9.146848739495798,94.45714285714287,7.9125,0.0,16.552941176470586,8.0,0.0,1.0,26.0,0.6283269961977186,18.986159169550174,61.88235294117647,1.0,12.75,41.5,0.375,1.375,0.625,3.875,0.017350157728706624,0.4125,79.74000000000001,-16.440000000000012,9.0,0.0,0.0,0.0,94.5,88.0,5.5588235294117645,5.176470588235294,13.0,126.886566,119.23087882995605,126.6,79.74000000000001
00-0034844,2024,Saquon Barkley,PHI,20,16.077124542124544,245.41000000000003,15.942857142857145,17.894444444444446,11.430769230769231,14.0,18.0,3.0,26.0,0.5329218106995884,18.079584775086506,57.1764705882353,1.0,17.642857142857142,68.71428571428571,0.42857142857142855,4.285714285714286,2.9285714285714284,20.0,0.12396694214876033,0.7885714285714285,223.73,-0.5299999999999727,3.0,1.0,1.0,0.0,455.7,432.7,22.785,21.634999999999998,46.0,183.00548,164.61337089538574,255.08571428571432,223.73
00-0034844,2025,Saquon Barkley,PHI,17,20.243301587301588,372.59,22.785,15.942857142857145,17.894444444444446,20.0,14.0,4.0,26.0,0.4122137404580153,22.714285714285715,62.38095238095238,0.0,21.8,125.2,0.9,2.9,2.3,17.65,0.11530815109343936,0.751,375.19,80.50999999999999,0.0,0.0,1.0,0.0,248.4,228.4,14.611764705882353,13.435294117647059,40.0,179.01662,161.33866691589355,364.56,375.19
00-0034972,2024,Alexander Mattison,LV,14,7.2752083333333335,119.39,8.325000000000001,4.977777777777778,7.86875,16.0,18.0,5.0,26.0,0.6168132942326491,21.612456747404845,60.1764705882353,1.0,11.25,43.75,0.0,2.75,1.875,12.0,0.07370184254606366,0.548125,183.23000000000002,-50.03,1.0,0.0,0.0,0.0,137.4,119.4,9.814285714285715,8.528571428571428,36.0,138.05621,121.11039733886719,133.20000000000002,183.23000000000002
00-0034975,2024,Justice Hill,BAL,17,5.630092592592592,99.46666666666667,7.038888888888889,2.8125,0.0,18.0,16.0,2.0,26.0,0.4800347222222222,22.526315789473685,60.63157894736842,0.0,5.555555555555555,25.333333333333332,0.16666666666666666,2.6666666666666665,1.8888888888888888,13.944444444444445,0.0916030534351145,0.4316666666666667,137.44,-10.739999999999995,0.0,0.0,0.0,0.0,147.3,123.30000000000001,8.664705882352942,7.252941176470589,48.0,108.723625,97.29923152923584,112.62222222222222,137.44
00-0034975,2025,Justice Hill,BAL,10,7.591740196078431,130.89000000000001,8.664705882352942,7.038888888888889,2.8125,17.0,18.0,3.0,26.0,0.4520311149524633,25.640866873065015,60.89473684210526,0.0,3.4705882352941178,17.058823529411764,0.058823529411764705,3.3529411764705883,2.823529411764706,23.705882352941178,0.11491935483870967,0.41529411764705887,123.85,23.450000000000017,0.0,0.0,0.0,0.0,65.2,54.7,6.5200000000000005,5.470000000000001,21.0,99.26493,77.27576065063477,138.63529411764708,123.85
00-0035243,2024,Miles Sanders,CAR,11,7.903153846153845,138.29999999999998,5.475,12.24,9.461538461538462,16.0,20.0,5.0,26.0,0.5685131195335277,17.363321799307958,60.529411764705884,0.0,8.0625,27.0,0.0625,2.5625,1.6875,9.625,0.07677902621722846,0.369375,125.96000000000001,-38.360000000000014,1.0,0.0,0.0,0.0,77.3,65.3,7.027272727272727,5.9363636363636365,24.0,78.15394,62.9729700088501,87.6,125.96000000000001
00-0035243,2025,Miles Sanders,DAL,4,7.082863636363636,97.14,7.027272727272727,5.475,12.24,11.0,16.0,6.0,26.0,0.5706806282722513,18.301038062283737,56.1764705882353,1.0,5.0,18.636363636363637,0.18181818181818182,2.727272727272727,2.1818181818181817,13.454545454545455,0.058027079303675046,0.3336363636363636,77.43,-0.13000000000000966,6.0,0.0,0.0,0.0,26.700000000000003,22.700000000000003,6.675000000000001,5.675000000000001,8.0,80.29019,66.44311618804932,112.43636363636364,77.43
00-0035250,2024,Devin Singletary,NYG,15,10.649245614035088,199.10399999999998,10.281052631578948,10.772222222222222,12.489473684210527,19.0,18.0,5.0,26.0,0.5746003552397868,21.105263157894736,59.26315789473684,1.0,12.526315789473685,51.89473684210526,0.2631578947368421,2.473684210526316,2.0,12.894736842105264,0.07592891760904685,0.5736842105263158,202.44,-7.099999999999994,0.0,0.0,0.0,0.0,96.6,86.1,6.4399999999999995,5.739999999999999,21.0,140.25945,126.0267915725708,164.49684210526317,202.44
00-0035250,2025,Devin Singletary,NYG,17,8.025538011695906,135.952,6.4399999999999995,10.281052631578948,10.772222222222222,15.0,19.0,6.0,26.0,0.5828402366863905,18.318339100346023,59.64705882352941,0.0,7.533333333333333,29.133333333333333,0.26666666666666666,1.6,1.4,7.933333333333334,0.04332129963898917,0.3893333333333333,95.69,0.9099999999999966,2.0,0.0,0.0,0.0,108.8,99.8,6.3999999999999995,5.870588235294117,18.0,98.78199,88.47241687774658,103.03999999999999,95.69
00-0035261,2024,Tony Pollard,TEN,16,13.615,242.98000000000002,13.561111111111112,14.777777777777779,10.45,18.0,18.0,5.0,26.0,0.5775492716366752,23.22222222222222,64.83333333333333,1.0,14.833333333333334,58.94444444444444,0.3888888888888889,4.222222222222222,3.4444444444444446,18.88888888888889,0.11463046757164404,0.706111111111111,306.69,-62.589999999999975,0.0,1.0,1.0,0.0,200.7,180.2,12.54375,11.2625,41.0,173.22978,159.11828899383545,216.9777777777778,306.69
00-0035261,2025,Tony Pollard,TEN,17,13.07236111111111,220.25,12.54375,13.561111111111112,14.777777777777779,16.0,18.0,6.0,26.0,0.5408163265306123,18.94809688581315,57.64705882352941,0.0,16.25,67.4375,0.3125,3.5625,2.5625,14.875,0.11264822134387352,0.678125,214.4,-13.700000000000017,1.0,1.0,1.0,0.0,185.8,169.3,10.929411764705883,9.958823529411765,33.0,141.89244,126.03271484375,200.7,214.4
00-0035291,2024,Trayveon Williams,CIN,5,0.9612499999999999,11.99,0.93125,0.8,1.625,16.0,10.0,4.0,26.0,0.6162324649298597,20.013840830449826,58.705882352941174,0.0,0.9375,4.3125,0.0,0.5625,0.4375,0.625,0.015202702702702704,0.1476470588235294,21.64,-6.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.942768,28.77619481086731,14.9,21.64
00-0035291,2025,Trayveon Williams,CLE,6,0.359375,5.27,0.0,0.93125,0.8,5.0,16.0,5.0,26.0,0.6317829457364341,22.463667820069205,60.705882352941174,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007058823529411764,0.0,0.0,12.0,0.0,0.0,0.0,17.1,13.100000000000001,2.85,2.1833333333333336,8.0,32.96533,29.659460067749023,0.0,0.0
00-0035537,2024,Ty Johnson,BUF,20,4.108181818181818,49.38,3.763636363636364,3.5666666666666664,7.8,11.0,12.0,5.0,26.0,0.525974025974026,22.495356037151705,64.84210526315789,0.0,4.090909090909091,18.0,0.0,0.9090909090909091,0.7272727272727273,6.909090909090909,0.016366612111292964,0.1425,41.199999999999996,0.20000000000000995,6.0,0.0,0.0,0.0,114.5,103.5,5.725,5.175,22.0,72.18445,65.30469274520874,60.218181818181826,41.199999999999996
00-0035537,2025,Ty Johnson,BUF,17,4.920757575757575,85.4,5.725,3.763636363636364,3.5666666666666664,20.0,11.0,6.0,26.0,0.5008319467554077,21.47352941176471,60.1,0.0,3.05,15.35,0.05,1.45,1.1,15.9,0.050699300699300696,0.3045,89.18,25.319999999999993,0.0,0.0,0.0,0.0,100.30000000000001,88.30000000000001,5.9,5.194117647058825,24.0,74.96581,63.06767463684082,91.6,89.18
00-0035567,2024,Craig Reynolds,DET,9,3.8597142857142854,35.379999999999995,2.6928571428571426,5.133333333333334,7.040000000000001,14.0,6.0,3.0,26.0,0.5537509667440061,23.808823529411764,64.65,0.0,3.0,12.857142857142858,0.14285714285714285,0.35714285714285715,0.35714285714285715,3.357142857142857,0.007374631268436578,0.1055,37.57,0.12999999999999545,3.0,0.0,0.0,0.0,20.900000000000002,19.400000000000002,2.3222222222222224,2.155555555555556,3.0,42.927948,38.20841455459595,43.08571428571428,37.57
00-0035567,2025,Craig Reynolds,DET,5,2.7145238095238096,26.93,2.3222222222222224,2.6928571428571426,5.133333333333334,9.0,14.0,4.0,26.0,0.516100957354221,25.245098039215687,63.833333333333336,0.0,3.4444444444444446,15.444444444444445,0.0,0.5555555555555556,0.3333333333333333,4.444444444444445,0.008944543828264758,0.0811111111111111,24.27,-3.3699999999999974,8.0,0.0,0.0,0.0,0.4,0.4,0.08,0.08,0.0,75.21054,69.99673891067505,37.15555555555556,24.27
00-0035594,2024,Travis Homer,CHI,8,1.7344285714285714,19.11,0.0,4.3100000000000005,4.414285714285714,7.0,10.0,5.0,26.0,0.4937439846005775,20.048442906574394,61.11764705882353,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0021231422505307855,0.00625,1.51,-1.51,10.0,0.0,0.0,0.0,6.3999999999999995,4.8999999999999995,0.7999999999999999,0.6124999999999999,3.0,51.731144,48.10661220550537,0.0,1.51
00-0035594,2025,Travis Homer,CHI,8,0.911,8.15,0.7999999999999999,0.0,4.3100000000000005,8.0,7.0,6.0,26.0,0.567703109327984,18.290657439446367,58.64705882352941,0.0,0.75,2.875,0.0,0.375,0.375,1.375,0.005703422053231939,0.11600000000000002,7.2299999999999995,-0.8300000000000001,9.0,0.0,0.0,0.0,-0.2,-0.2,-0.025,-0.025,0.0,0.0,0.0,12.799999999999999,7.2299999999999995
00-0035628,2024,D'Ernest Johnson,JAX,12,2.285769230769231,32.910000000000004,2.1750000000000003,0.6000000000000001,8.007692307692308,16.0,9.0,5.0,26.0,0.5774253731343284,20.79584775086505,63.05882352941177,0.0,2.5625,6.75,0.0,0.75,0.625,8.75,0.019769357495881382,0.16588235294117645,40.79,-5.989999999999995,1.0,0.0,0.0,0.0,35.9,29.9,2.9916666666666667,2.4916666666666667,12.0,49.549923,42.00632905960083,34.800000000000004,40.79
