player_id,player_display_name,team,season,position,projected_games_played,projected_ppr_per_game,projected_ppr,projected_receptions,projected_half_ppr,projected_half_ppr_per_game,ci_low,ci_high,position_rank,is_rookie,baseline_pts,baseline_rank,vbd,vbd_rank_overall,tier,consensus_rank,rank_diff,label
00-0038120,Breece Hall,NYJ,2026,RB,,13.626752718175462,218.0280434908074,27.86526876316423,204.09540910922527,12.75596306932658,189.70790969754637,243.7180211073858,8,False,127.62753663002343,24.0,76.46787247920184,17,3,15.03,-1.9700000000000006,
00-0038134,Kenneth Walker III,KC,2026,RB,,13.153638175211077,210.45821080337723,30.748656570452848,195.0838825181508,12.192742657384425,157.6564128428204,231.87085548792533,9,False,127.62753663002343,24.0,67.45634588812737,18,3,11.12,-6.880000000000001,
00-0037238,Drake London,ATL,2026,WR,,15.070389747619629,241.12623596191406,86.27181243896484,197.99032974243164,12.374395608901978,222.18890380859375,282.22186279296875,10,False,130.66782760620117,36.0,67.32250213623047,19,3,7.47,-11.530000000000001,
00-0039732,Bo Nix,DEN,2026,QB,15.678617,21.367677688598633,335.015625,0.03389400243759155,334.9986779987812,20.937417374923825,309.88018798828125,354.1668395996094,1,False,269.9794600009918,12.0,65.01921799778938,20,1,14.44,-5.5600000000000005,
00-0040784,Quinshon Judkins,CLE,2026,RB,,12.585157299041748,201.36251678466797,20.148593101501465,191.28822023391723,11.955513764619827,128.56166854858398,220.82721588134766,11,False,127.62753663002343,24.0,63.6606836038938,21,3,23.59,2.59,
00-0039361,Bucky Irving,TB,2026,RB,,12.964304399490358,207.42887039184572,52.054405326843266,181.4016677284241,11.337604233026505,175.5154670715332,239.5134426879883,10,False,127.62753663002343,24.0,53.77413109840066,22,3,18.91,-3.09,
00-0036900,Ja'Marr Chase,CIN,2026,WR,,14.058815002441406,224.9410400390625,84.90497589111328,182.48855209350586,11.405534505844116,208.73855590820312,280.7574462890625,11,False,130.66782760620117,36.0,51.82072448730469,23,3,1.12,-21.88,bust
00-0038117,Wan'Dale Robinson,TEN,2026,WR,,13.941129684448242,223.05807495117188,83.21700286865234,181.4495735168457,11.340598344802856,165.39569091796875,227.1356201171875,12,False,130.66782760620117,36.0,50.78174591064453,24,3,39.88,15.880000000000003,
00-0038597,Chase Brown,CIN,2026,RB,,12.493182921700084,199.89092674720135,43.004672247973474,178.38859062321458,11.149286913950911,192.07848328326028,239.90752772754877,12,False,127.62753663002343,24.0,50.761053993191155,25,3,7.65,-17.35,
00-0030506,Travis Kelce,KC,2026,TE,,12.707318305969238,203.3170928955078,75.91413116455078,165.36002731323242,10.335001707077026,170.49386596679688,210.2941131591797,1,False,115.28140640258789,12.0,50.07862091064453,26,1,12.06,-13.94,
00-0034857,Josh Allen,BUF,2026,QB,17.0,18.743803024291992,318.6446533203125,0.24874058365821838,318.5202830284834,19.907517689280212,309.6011657714844,363.2823486328125,2,False,269.9794600009918,12.0,48.54082302749157,27,1,1.03,-25.97,bust
